,restaurant_name,ratings,review,location,time
61,Pinkberry (King Power),0,,"8/1 TIB-069 ชั้น 3 คิงพาวเวอ์ ถนนซอยรางน้ำ แขวงถนนพญาไท เขตราชเทวี, 10400 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 9:30 PM                                    
"
62,Owlvee Soft,0,,"ฟิวเจอร์พาร์ครังสิต 94 ถนนพหลโยธิน ประชาธิปัตย์ ปทุมธานี, 12130 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:00 PM                                    
"
63,Ekiben Thailand (Ratchadapisek),0,,"31/22 ซอยลาดพร้าว 23 แขวงจันทรเกษม เขตจตุจักร, 10900 Bangkok","

                                                                        Mon - Sun                                                                                        9:00 AM - 10:00 PM                                    
"
64,Kraprorpla Yaowarat (Soi Thoet Thai 22),4.2/5,(7),"11/4 ซอยเทิดไทย 22, ตลาดพลู, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 2:00 PM                                    
"
65,Stand Alone Coffee Bar (Iconsiam),5/5,(1),"Icon Siam ชั้น3 ถนนเจริญนคร คลองต้นไทน คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:00 PM                                    
"
66,Zap Yaso,4.2/5,(34),"405/12 ซอยอิสรภาพ 27 วัดท่าพระ บางกอกใหญ่, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        10:00 AM - 7:00 PM                                    
"
67,Spaghetti Indy,4.2/5,(4),"ตลาดอินดี้ ดาวคะนอง ถนน สุขสวัสดิ์  ซอย สุขสวัสดิ์ 2 จอมทอง จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 10:00 PM                                    
"
68,Jay Mhew Tom Leud Mhoo,3.6/5,(3),"ซอยอินทรพิทักษ์ 7 บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu - Sun                                                                                        10:00 AM - 1:00 PM                                    
"
69,Jae Toon Tum So Tie Udon (Indy Market Dao Kanong),4.5/5,(2),"ตลาดอินดี้ ดาวคะนอง ซอยสุขสวัสดิ์ 2 จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 11:59 PM                                    
"
70,Hia Buck Bameekieow Moodaeng,0,,"1232 สมเด็จเจ้าพระยาตากสิน 42 ดาวคะนอง ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        2:00 PM - 10:00 PM                                    
"
